gene_id,gene_description,module,header
K14080,[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246] [RN:R09098],Methanogenesis,C1-methane
K00204,4Fe-4S ferredoxin,Methanogenesis,C1-methane
K00205,4Fe-4S ferredoxin,Methanogenesis,C1-methane
K11260,4Fe-4S ferredoxin,Methanogenesis,C1-methane
K13942,"5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2] [RN:R04455]",Methanogenesis,C1-methane
K00925,acetate kinase [EC:2.7.2.1] [RN:R00315],Methanogenesis,C1-methane
K00193,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane
K00194,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane
K00197,acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096],Methanogenesis,C1-methane
K01895,acetyl-CoA synthetase [EC:6.2.1.1] [RN:R00235],Methanogenesis,C1-methane
K00320,"coenzyme F420-dependent N5,N10-methenyltetrahydromethanopterin reductase [EC:1.5.99.11] [RN:R04464]",Methanogenesis,C1-methane
K14126,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14128,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14126,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14128,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14126,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14128,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14126,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14128,F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943],Methanogenesis,C1-methane
K14127,F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.8.98.5 1.8.98.6] [RN:R11943 R11944],Methanogenesis,C1-methane
K14127,F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.8.98.5 1.8.98.6] [RN:R11943 R11944],Methanogenesis,C1-methane
K14127,F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.8.98.5 1.8.98.6] [RN:R11943 R11944],Methanogenesis,C1-methane
K14127,F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.8.98.5 1.8.98.6] [RN:R11943 R11944],Methanogenesis,C1-methane
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K22516,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K22516,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K00125,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K22516,formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K00125,formate dehydrogenase (coenzyme F420) [EC1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K22516,formate dehydrogenase (coenzyme F420) [EC1.8.98.6] [RN:R11944],Methanogenesis,C1-methane
K00200,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane
K00201,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane
K00202,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane
K00203,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane
K11261,formylmethanofuran dehydrogenase [EC:1.2.99.5] [RN:R03015],Methanogenesis,C1-methane
K00672,formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101] [RN:R03390],Methanogenesis,C1-methane
K08264,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K08265,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K08264,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K08265,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K08264,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K08265,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K08264,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K08265,heterodisulfide reductase [EC:1.8.98.1] [RN:R04540],Methanogenesis,C1-methane
K22480,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
K22481,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
K22482,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
K22480,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
K22481,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
K22482,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
K22480,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
K22481,heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931],Methanogenesis,C1-methane
