"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m","relative_auto","percentage"
"1","3HP Bicycle",508.594395842757,0,1848.08961599914,0.050592296887506,"chemoautotrophy","3000",50,0.525221667544886,5.0592296887506
"2","3HP/4HB or DC/4HB",132.203072846683,0,396.60921854005,0.0131508667133797,"chemoautotrophy","3000",50,0.136525134650836,1.31508667133797
"3","CBB",327.544904198846,241.08301326324,414.006795134452,0.0325824452110972,"chemoautotrophy","3000",50,0.338253197804278,3.25824452110972
"4","WL",0,0,0,0,"chemoautotrophy","3000",50,0,0
"5","rTCA",0,0,0,0,"chemoautotrophy","3000",50,0,0
"6","total",NA,NA,NA,0.0963256088119829,NA,"3000",50,NA,9.63256088119829
"7","3HP Bicycle",596.124988470684,0,1902.10159967831,0.0698513029167247,"chemoautotrophy","3000",150,0.267543002995694,6.98513029167247
"8","3HP/4HB or DC/4HB",400.14576406064,0,1200.43729218192,0.0468873198017575,"chemoautotrophy","3000",150,0.179586834008477,4.68873198017575
"9","CBB",1226.99309469913,868.934162635885,1585.05202676238,0.143773651486132,"chemoautotrophy","3000",150,0.550678840108595,14.3773651486132
"10","WL",0,0,0,0,"chemoautotrophy","3000",150,0,0
"11","rTCA",4.88258828024452,0,24.4129414012226,0.000572120208978258,"chemoautotrophy","3000",150,0.00219132288723448,0.0572120208978258
"12","total",NA,NA,NA,0.261084394413592,NA,"3000",150,NA,26.1084394413592
"13","3HP Bicycle",684.879464388011,0,2798.04083540518,0.0725477091282752,"chemoautotrophy","3000",500,0.440928025920085,7.25477091282752
"14","3HP/4HB or DC/4HB",132.627181442518,0,397.881544327555,0.0140488928083025,"chemoautotrophy","3000",500,0.0853858880833138,1.40488928083025
"15","CBB",704.041933219982,160.152238708573,1247.93162773139,0.0745775454531878,"chemoautotrophy","3000",500,0.453264896848733,7.45775454531878
"16","WL",29.205,0,146.025,0.00309361859314111,"chemoautotrophy","3000",500,0.0188022910111678,0.309361859314111
"17","rTCA",2.5145829332309,0,12.5729146661545,0.00026636399644713,"chemoautotrophy","3000",500,0.00161889813669999,0.026636399644713
"18","total",NA,NA,NA,0.164534129979354,NA,"3000",500,NA,16.4534129979354
"19","3HP Bicycle",457.708694085485,0,1308.79202182454,0.0620053814389837,"chemoautotrophy","3000",1000,0.224188299629169,6.20053814389837
"20","3HP/4HB or DC/4HB",325.967177151349,0,977.901531454048,0.0441584776890502,"chemoautotrophy","3000",1000,0.159660561673388,4.41584776890502
"21","CBB",1213.83867562893,801.40279378031,1626.27455747754,0.164437623886833,"chemoautotrophy","3000",1000,0.59454502881378,16.4437623886833
"22","WL",43.5104444444444,0,217.552222222222,0.00589432042523887,"chemoautotrophy","3000",1000,0.0213116610677437,0.589432042523887
"23","rTCA",0.601154401154402,0,3.00577200577201,8.14378412054826e-05,"chemoautotrophy","3000",1000,0.000294448815919206,0.00814378412054826
"24","total",NA,NA,NA,0.276577241281311,NA,"3000",1000,NA,27.6577241281311
"25","3HP Bicycle",484.930060072316,0,1676.07218894533,0.0504073778499198,"chemoautotrophy","3000",2000,0.290812094184434,5.04073778499198
"26","3HP/4HB or DC/4HB",456.624184228543,0,1369.87255268563,0.0474650463747021,"chemoautotrophy","3000",2000,0.273837087457434,4.74650463747021
"27","CBB",723.875183067631,533.38012266696,914.370243468303,0.075245180436182,"chemoautotrophy","3000",2000,0.43410725638383,7.5245180436182
"28","WL",0,0,0,0,"chemoautotrophy","3000",2000,0,0
"29","rTCA",2.07364341085272,0,10.3682170542636,0.000215550520669438,"chemoautotrophy","3000",2000,0.00124356197430183,0.0215550520669438
"30","total",NA,NA,NA,0.173333155181473,NA,"3000",2000,NA,17.3333155181473
"31","3HP Bicycle",675.053753358941,0,2391.45903327228,0.0744023572379796,"chemoautotrophy","3000",3000,0.307708711892895,7.44023572379796
"32","3HP/4HB or DC/4HB",300.193532815624,0,900.580598446873,0.033086411797496,"chemoautotrophy","3000",3000,0.136836755357106,3.3086411797496
"33","CBB",1206.37925792909,502.225958314091,1910.53255754409,0.132963427084603,"chemoautotrophy","3000",3000,0.54990199767734,13.2963427084603
"34","WL",0,0,0,0,"chemoautotrophy","3000",3000,0,0
"35","rTCA",12.1811944107729,0,60.9059720538645,0.00134257394115058,"chemoautotrophy","3000",3000,0.00555253507265936,0.134257394115058
"36","total",NA,NA,NA,0.241794770061229,NA,"3000",3000,NA,24.1794770061229
"37","3HP Bicycle",323.82410703194,0,1328.45550247121,0.0357030024377462,"chemoautotrophy","3500",50,0.209388404335801,3.57030024377462
"38","3HP/4HB or DC/4HB",279.329808269325,0,837.989424807976,0.0307973143722473,"chemoautotrophy","3500",50,0.180617877319339,3.07973143722473
"39","CBB",943.369675912577,931.090278206172,955.649073618982,0.104010569650025,"chemoautotrophy","3500",50,0.60999371834486,10.4010569650025
"40","WL",0,0,0,0,"chemoautotrophy","3500",50,0,0
