scaffold,reconciled_taxonomy
OC1703_500m_50m_sens_contig_2251444,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_4000m_sens_contig_1073933,unclassified
OC1703_4500m_150m_sens_contig_2105415,p__Halobacteriota
OC1703_4500m_500m_sens_contig_989476,p__Halobacteriota
OC1703_4500m_1000m_sens_contig_762673,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4000m_1000m_sens_contig_132800,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_50m_sens_contig_2002734,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_50m_sens_contig_147147,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_50m_sens_contig_1926352,eukaryote
OC1703_3500m_150m_sens_contig_5209051,p__Thermoproteota
OC1703_4500m_150m_sens_contig_2576024,p__Thermoproteota
OC1703_4500m_500m_sens_contig_2412779,p__Thermoproteota
OC1703_4500m_3000m_sens_contig_1569775,p__Acidobacteriota
OC1703_4500m_2000m_sens_contig_1811549,p__Acidobacteriota
OC1703_4000m_2000m_sens_contig_3653663,p__Acidobacteriota
OC1703_4500m_150m_sens_contig_2706269,p__Acidobacteriota
OC1703_4500m_150m_sens_contig_4499898,p__Acidobacteriota
OC1703_3500m_50m_sens_contig_2392254,unclassified
OC1703_3000m_50m_sens_contig_849039,unclassified
OC1703_500m_50m_sens_contig_1238594,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_50m_sens_contig_2146324,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_6433903,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_50m_sens_contig_4300480,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_50m_sens_contig_397980,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_50m_sens_contig_2669421,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_50m_sens_contig_369226,p__Actinobacteriota
OC1703_3500m_50m_sens_contig_3558135,p__Actinobacteriota
OC1703_500m_50m_sens_contig_1966927,p__Actinobacteriota
OC1703_4500m_50m_sens_contig_6436277,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_50m_sens_contig_3015625,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_2499101,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4000m_50m_sens_contig_159671,p__Proteobacteria;c__Alphaproteobacteria
OC1703_500m_50m_sens_contig_212498,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_50m_sens_contig_1477265,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_50m_sens_contig_4050304,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_50m_sens_contig_4469332,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_4809968,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_2771313,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_50m_sens_contig_5242022,p__Proteobacteria;c__Alphaproteobacteria
OC1703_4500m_150m_sens_contig_2901584,p__Chloroflexota
OC1703_3000m_3000m_sens_contig_327220,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_3000m_sens_contig_2694777,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_3000m_sens_contig_1779769,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_3000m_sens_contig_228569,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3500m_3000m_sens_contig_1627856,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_3961103,p__Planctomycetota
OC1703_4500m_2000m_sens_contig_1367491,p__Planctomycetota
OC1703_4000m_2000m_sens_contig_2718962,p__Planctomycetota
OC1703_4500m_4000m_sens_contig_4435380,p__Planctomycetota
OC1703_4000m_3000m_sens_contig_1549728,p__Planctomycetota
OC1703_4000m_3000m_sens_contig_1655417,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_3000m_sens_contig_503881,p__Proteobacteria;unclassified
OC1703_4500m_2000m_sens_contig_1110991,p__Proteobacteria;unclassified
OC1703_4500m_2000m_sens_contig_548983,p__Proteobacteria;unclassified
OC1703_3000m_500m_sens_contig_3135517,p__Proteobacteria;unclassified
OC1703_4500m_500m_sens_contig_3041606,p__Proteobacteria;unclassified
OC1703_3500m_150m_sens_contig_550687,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_50m_sens_contig_2044963,p__Proteobacteria;c__Gammaproteobacteria
OC1703_3000m_150m_sens_contig_307341,p__Proteobacteria;c__Gammaproteobacteria
OC1703_500m_50m_sens_contig_1353766,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3000m_150m_sens_contig_2920256,p__Proteobacteria;c__Alphaproteobacteria
OC1703_3500m_150m_sens_contig_4824256,p__Proteobacteria;c__Gammaproteobacteria
OC1703_4500m_150m_sens_contig_1892075,p__Proteobacteria;c__Gammaproteobacteria
