"","KO","gene_count","sum_cov","min_cov","max_cov","pathway","site_m","depth_m"
"1","K18861",0,0,0,0,"3HP/4HB or DC/4HB","3000","1000"
"2","K15234",1,3.00577200577201,3.00577200577201,3.00577200577201,"rTCA","3000","1000"
"3","K15233",0,0,0,0,"rTCA","3000","1000"
"4","K15232",0,0,0,0,"rTCA","3000","1000"
"5","K15231",0,0,0,0,"rTCA","3000","1000"
"6","K15230",0,0,0,0,"rTCA","3000","1000"
"7","K15052",0,0,0,0,"3HP Bicycle","3000","1000"
"8","K15039",0,0,0,0,"3HP/4HB","3000","1000"
"9","K15023",1,217.552222222222,217.552222222222,217.552222222222,"WL","3000","1000"
"10","K15017",0,0,0,0,"3HP/4HB or DC/4HB","3000","1000"
"11","K15016",11,977.901531454048,3.89726409826912,581.24826629681,"3HP/4HB or DC/4HB","3000","1000"
"12","K14470",19,1234.73011664384,3.81799591002045,321.323784722222,"3HP Bicycle","3000","1000"
"13","K14469",0,0,0,0,"3HP Bicycle","3000","1000"
"14","K14468",0,0,0,0,"3HP Bicycle","3000","1000"
"15","K14467",0,0,0,0,"DC/4HB","3000","1000"
"16","K14466",0,0,0,0,"3HP/4HB","3000","1000"
"17","K14138",0,0,0,0,"WL","3000","1000"
"18","K09709",16,202.730026044529,2.45220588235294,49.0638792102207,"3HP Bicycle","3000","1000"
"19","K08691",21,1308.79202182454,3.80212014134276,364.966049382716,"3HP Bicycle","3000","1000"
"20","K03553",194,5556.86365356332,2.05,339.912137681159,"single copy","3000","1000"
"21","K03076",198,6433.87729418037,2.07684918347743,929.899412628488,"single copy","3000","1000"
"22","K02982",254,9562.01140223105,1.97953216374269,717.579510703364,"single copy","3000","1000"
"23","K01889",234,7974.27794728373,1.75668073136428,509.797575757576,"single copy","3000","1000"
"24","K01602",9,791.773532858224,10.7215189873418,550.833333333333,"CBB","3000","1000"
"25","K01601",5,801.40279378031,16.2358757062147,654.708157524613,"CBB","3000","1000"
"26","K00855",19,1626.27455747754,3.52717948717949,816.521831735889,"CBB","3000","1000"
"27","K00198",0,0,0,0,"WL","3000","1000"
"28","K00197",0,0,0,0,"WL","3000","1000"
"29","K00194",0,0,0,0,"WL","3000","1000"
"30","K18861",0,0,0,0,"3HP/4HB or DC/4HB","3000","150"
"31","K15234",3,24.4129414012226,4.29817708333333,10.1302083333333,"rTCA","3000","150"
"32","K15233",0,0,0,0,"rTCA","3000","150"
"33","K15232",0,0,0,0,"rTCA","3000","150"
"34","K15231",0,0,0,0,"rTCA","3000","150"
"35","K15230",0,0,0,0,"rTCA","3000","150"
"36","K15052",0,0,0,0,"3HP Bicycle","3000","150"
"37","K15039",0,0,0,0,"3HP/4HB","3000","150"
"38","K15023",0,0,0,0,"WL","3000","150"
"39","K15017",0,0,0,0,"3HP/4HB or DC/4HB","3000","150"
"40","K15016",20,1200.43729218192,4.4789139225881,332.355263157895,"3HP/4HB or DC/4HB","3000","150"
"41","K14470",22,1499.33818281025,2.84722222222222,534.236111111111,"3HP Bicycle","3000","150"
"42","K14469",0,0,0,0,"3HP Bicycle","3000","150"
"43","K14468",0,0,0,0,"3HP Bicycle","3000","150"
"44","K14467",0,0,0,0,"DC/4HB","3000","150"
"45","K14466",0,0,0,0,"3HP/4HB","3000","150"
"46","K14138",0,0,0,0,"WL","3000","150"
"47","K09709",12,175.310148335545,4.33797909407665,36.1261904761905,"3HP Bicycle","3000","150"
"48","K08691",48,1902.10159967831,3.46619217081851,299.800838574423,"3HP Bicycle","3000","150"
"49","K03553",277,6794.8976438166,1.63636363636364,444.338150289017,"single copy","3000","150"
"50","K03076",229,6238.35281762562,2.37790697674419,453.018737672584,"single copy","3000","150"
"51","K02982",397,11773.8727439382,1.52432432432432,585.131313131313,"single copy","3000","150"
"52","K01889",293,9329.67674415653,2.70160528800755,512.687687687688,"single copy","3000","150"
"53","K01602",11,1208.49218455744,4.64444444444445,324.152777777778,"CBB","3000","150"
"54","K01601",11,868.934162635885,3.52847805788982,313.403887688985,"CBB","3000","150"
"55","K00855",23,1585.05202676238,4.8859357696567,431.67131242741,"CBB","3000","150"
"56","K00198",0,0,0,0,"WL","3000","150"
"57","K00197",0,0,0,0,"WL","3000","150"
"58","K00194",0,0,0,0,"WL","3000","150"
"59","K18861",0,0,0,0,"3HP/4HB or DC/4HB","3000","2000"
"60","K15234",2,10.3682170542636,4.63824289405685,5.72997416020672,"rTCA","3000","2000"
"61","K15233",0,0,0,0,"rTCA","3000","2000"
"62","K15232",0,0,0,0,"rTCA","3000","2000"
"63","K15231",0,0,0,0,"rTCA","3000","2000"
"64","K15230",0,0,0,0,"rTCA","3000","2000"
"65","K15052",0,0,0,0,"3HP Bicycle","3000","2000"
"66","K15039",0,0,0,0,"3HP/4HB","3000","2000"
"67","K15023",0,0,0,0,"WL","3000","2000"
"68","K15017",0,0,0,0,"3HP/4HB or DC/4HB","3000","2000"
"69","K15016",14,1369.87255268563,3.30347222222222,914.428571428571,"3HP/4HB or DC/4HB","3000","2000"
"70","K14470",15,1676.07218894533,5.73464373464373,892.691358024691,"3HP Bicycle","3000","2000"
"71","K14469",0,0,0,0,"3HP Bicycle","3000","2000"
"72","K14468",0,0,0,0,"3HP Bicycle","3000","2000"
"73","K14467",0,0,0,0,"DC/4HB","3000","2000"
"74","K14466",0,0,0,0,"3HP/4HB","3000","2000"
"75","K14138",0,0,0,0,"WL","3000","2000"
"76","K09709",13,190.441434353013,2.37562189054726,36.1486486486486,"3HP Bicycle","3000","2000"
"77","K08691",39,1043.06673713555,3.22791164658635,180.651991614256,"3HP Bicycle","3000","2000"
"78","K03553",246,8302.53496720832,2.29088639200999,772.089595375723,"single copy","3000","2000"
"79","K03076",235,7363.21538413181,2.10430107526882,736.000752445448,"single copy","3000","2000"
"80","K02982",285,11279.5351037552,2.25378787878788,896.565591397849,"single copy","3000","2000"
"81","K01889",263,11535.5941904296,2.68089430894309,921.898898898899,"single copy","3000","2000"
"82","K01602",7,647.39694923167,11.1888888888889,464.254237288136,"CBB","3000","2000"
"83","K01601",5,533.38012266696,4.26050420168067,446.872714486638,"CBB","3000","2000"
"84","K00855",12,914.370243468303,4.92162698412698,583.610223642173,"CBB","3000","2000"
"85","K00198",0,0,0,0,"WL","3000","2000"
"86","K00197",0,0,0,0,"WL","3000","2000"
"87","K00194",0,0,0,0,"WL","3000","2000"
"88","K18861",0,0,0,0,"3HP/4HB or DC/4HB","3000","3000"
"89","K15234",4,60.9059720538645,4.15245478036176,30.3953488372093,"rTCA","3000","3000"
"90","K15233",0,0,0,0,"rTCA","3000","3000"
"91","K15232",0,0,0,0,"rTCA","3000","3000"
"92","K15231",0,0,0,0,"rTCA","3000","3000"
"93","K15230",0,0,0,0,"rTCA","3000","3000"
"94","K15052",0,0,0,0,"3HP Bicycle","3000","3000"
"95","K15039",0,0,0,0,"3HP/4HB","3000","3000"
"96","K15023",0,0,0,0,"WL","3000","3000"
"97","K15017",0,0,0,0,"3HP/4HB or DC/4HB","3000","3000"
"98","K15016",16,900.580598446873,6.13818722139673,513.648766328012,"3HP/4HB or DC/4HB","3000","3000"
"99","K14470",13,1310.59603833315,4.2211614956245,933.323456790124,"3HP Bicycle","3000","3000"
"100","K14469",0,0,0,0,"3HP Bicycle","3000","3000"
"101","K14468",0,0,0,0,"3HP Bicycle","3000","3000"
"102","K14467",0,0,0,0,"DC/4HB","3000","3000"
"103","K14466",0,0,0,0,"3HP/4HB","3000","3000"
"104","K14138",0,0,0,0,"WL","3000","3000"
"105","K09709",13,348.267448548214,4.56876456876457,96.7212543554007,"3HP Bicycle","3000","3000"
"106","K08691",35,2391.45903327228,3.22962962962963,843.093716719915,"3HP Bicycle","3000","3000"
"107","K03553",219,7466.54543432199,2.37857802400739,978.637457044674,"single copy","3000","3000"
"108","K03076",198,7156.18802425428,2.33149171270718,930.495086923658,"single copy","3000","3000"
"109","K02982",234,10795.3685863436,2.10569105691057,1043.40537634409,"single copy","3000","3000"
