"","pathway","mean_cov","min_cov","max_cov","normalized_cov","metabolism","site_m","depth_m"
"1","3HP Bicycle",457.708694085485,0,1308.79202182454,0.0620053814389837,"chemoautotrophy","3000","1000"
"2","3HP/4HB",0,0,0,0,"chemoautotrophy","3000","1000"
"3","3HP/4HB or DC/4HB",325.967177151349,0,977.901531454048,0.0441584776890502,"chemoautotrophy","3000","1000"
"4","CBB",1213.83867562893,801.40279378031,1626.27455747754,0.164437623886833,"chemoautotrophy","3000","1000"
"5","DC/4HB",0,0,0,0,"chemoautotrophy","3000","1000"
"6","WL",43.5104444444444,0,217.552222222222,0.00589432042523887,"chemoautotrophy","3000","1000"
"7","rTCA",0.601154401154402,0,3.00577200577201,8.14378412054826e-05,"chemoautotrophy","3000","1000"
"8","single copy",7381.75757431462,5556.86365356332,9562.01140223105,1,"single copy","3000","1000"
"9","3HP Bicycle",596.124988470684,0,1902.10159967831,0.0698513029167247,"chemoautotrophy","3000","150"
"10","3HP/4HB",0,0,0,0,"chemoautotrophy","3000","150"
"11","3HP/4HB or DC/4HB",400.14576406064,0,1200.43729218192,0.0468873198017575,"chemoautotrophy","3000","150"
"12","CBB",1226.99309469913,868.934162635885,1585.05202676238,0.143773651486132,"chemoautotrophy","3000","150"
"13","DC/4HB",0,0,0,0,"chemoautotrophy","3000","150"
"14","WL",0,0,0,0,"chemoautotrophy","3000","150"
"15","rTCA",4.88258828024452,0,24.4129414012226,0.000572120208978258,"chemoautotrophy","3000","150"
"16","single copy",8534.19998738424,6238.35281762562,11773.8727439382,1,"single copy","3000","150"
"17","3HP Bicycle",484.930060072316,0,1676.07218894533,0.0504073778499198,"chemoautotrophy","3000","2000"
"18","3HP/4HB",0,0,0,0,"chemoautotrophy","3000","2000"
"19","3HP/4HB or DC/4HB",456.624184228543,0,1369.87255268563,0.0474650463747021,"chemoautotrophy","3000","2000"
"20","CBB",723.875183067631,533.38012266696,914.370243468303,0.075245180436182,"chemoautotrophy","3000","2000"
"21","DC/4HB",0,0,0,0,"chemoautotrophy","3000","2000"
"22","WL",0,0,0,0,"chemoautotrophy","3000","2000"
"23","rTCA",2.07364341085272,0,10.3682170542636,0.000215550520669438,"chemoautotrophy","3000","2000"
"24","single copy",9620.21991138123,7363.21538413181,11535.5941904296,1,"single copy","3000","2000"
"25","3HP Bicycle",675.053753358941,0,2391.45903327228,0.0744023572379796,"chemoautotrophy","3000","3000"
"26","3HP/4HB",0,0,0,0,"chemoautotrophy","3000","3000"
"27","3HP/4HB or DC/4HB",300.193532815624,0,900.580598446873,0.033086411797496,"chemoautotrophy","3000","3000"
"28","CBB",1206.37925792909,502.225958314091,1910.53255754409,0.132963427084603,"chemoautotrophy","3000","3000"
"29","DC/4HB",0,0,0,0,"chemoautotrophy","3000","3000"
"30","WL",0,0,0,0,"chemoautotrophy","3000","3000"
"31","rTCA",12.1811944107729,0,60.9059720538645,0.00134257394115058,"chemoautotrophy","3000","3000"
"32","single copy",9073.01567341137,7156.18802425428,10873.9606487256,1,"single copy","3000","3000"
"33","3HP Bicycle",684.879464388011,0,2798.04083540518,0.0725477091282752,"chemoautotrophy","3000","500"
"34","3HP/4HB",0,0,0,0,"chemoautotrophy","3000","500"
