"","x"
"1","OC2_50m_MAG_158"
"2","OC2_50m_MAG_289"
"3","OC3_150m_MAG_25"
"4","OC3_2000m_MAG_134"
"5","OC3_3000m_MAG_18"
"6","OC3_3000m_MAG_210"
"7","OC3_3000m_MAG_67"
"8","OC4_1000m_MAG_173"
"9","OC4_1000m_MAG_2"
"10","OC4_150m_MAG_116"
"11","OC4_150m_MAG_150"
"12","OC4_150m_MAG_195"
"13","OC5_1000m_MAG_150"
"14","OC5_1000m_MAG_232"
"15","OC5_1000m_MAG_46"
"16","OC5_50m_MAG_111"
"17","OC5_50m_MAG_115"
"18","OC6_150m_MAG_132"
"19","OC6_150m_MAG_240"
"20","OC6_150m_MAG_330"
"21","OC6_2000m_MAG_74"
"22","OC6_3000m_MAG_119"
"23","OC6_3000m_MAG_235"
"24","OC6_4000m_MAG_155"
"25","OC6_4000m_MAG_197"
"26","OC6_4000m_MAG_209"
"27","OC6_500m_MAG_143"
"28","OC2_150m_MAG_5"
"29","OC2_50m_MAG_157"
"30","OC2_50m_MAG_275"
"31","OC3_1000m_MAG_77"
"32","OC3_500m_MAG_74"
"33","OC4_2000m_MAG_102"
"34","OC4_2000m_MAG_12"
"35","OC4_2000m_MAG_44"
"36","OC4_3000m_MAG_36"
"37","OC5_1000m_MAG_103"
"38","OC5_150m_MAG_140"
"39","OC5_150m_MAG_21"
"40","OC5_150m_MAG_228"
"41","OC5_2000m_MAG_122"
"42","OC5_2000m_MAG_174"
"43","OC5_3000m_MAG_74"
"44","OC6_150m_MAG_308"
"45","OC6_2000m_MAG_188"
"46","OC6_3000m_MAG_133"
"47","OC6_3000m_MAG_151"
"48","OC6_3000m_MAG_168"
"49","OC6_3000m_MAG_278"
"50","OC6_3000m_MAG_303"
"51","OC6_4000m_MAG_174"
"52","OC6_4000m_MAG_183"
"53","OC6_4000m_MAG_199"
"54","OC6_4000m_MAG_77"
"55","OC6_4000m_MAG_82"
"56","OC3_3000m_MAG_23"
"57","OC5_50m_MAG_42"
"58","OC3_150m_MAG_184"
"59","OC3_150m_MAG_313"
"60","OC4_3000m_MAG_173"
"61","OC5_3000m_MAG_162"
"62","OC6_150m_MAG_352"
"63","OC6_4000m_MAG_214"
"64","OC4_1000m_MAG_12"
"65","OC5_1000m_MAG_19"
"66","OC6_4000m_MAG_6"
"67","OC2_50m_MAG_165"
"68","OC6_4000m_MAG_328"
"69","OC2_50m_MAG_230"
"70","OC5_1000m_MAG_144"
"71","OC2_150m_MAG_100"
"72","OC2_150m_MAG_124"
"73","OC2_150m_MAG_185"
"74","OC2_150m_MAG_207"
"75","OC2_500m_MAG_107"
"76","OC2_500m_MAG_98"
"77","OC2_50m_MAG_106"
"78","OC2_50m_MAG_134"
"79","OC2_50m_MAG_36"
"80","OC3_150m_MAG_175"
"81","OC3_150m_MAG_211"
"82","OC3_150m_MAG_285"
"83","OC3_2000m_MAG_241"
"84","OC3_2000m_MAG_79"
"85","OC3_3000m_MAG_111"
"86","OC3_3000m_MAG_132"
"87","OC3_3000m_MAG_135"
"88","OC3_3000m_MAG_195"
"89","OC3_3000m_MAG_234"
"90","OC3_3000m_MAG_269"
"91","OC3_3000m_MAG_60"
"92","OC3_3000m_MAG_72"
"93","OC3_500m_MAG_228"
"94","OC3_500m_MAG_64"
"95","OC3_50m_MAG_18"
"96","OC3_50m_MAG_213"
"97","OC3_50m_MAG_89"
"98","OC4_1000m_MAG_200"
"99","OC4_1000m_MAG_82"
"100","OC4_150m_MAG_53"
"101","OC4_2000m_MAG_39"
"102","OC4_2000m_MAG_54"
"103","OC4_50m_MAG_152"
"104","OC4_50m_MAG_180"
"105","OC4_50m_MAG_198"
"106","OC4_50m_MAG_211"
"107","OC4_50m_MAG_244"
"108","OC4_50m_MAG_246"
"109","OC4_50m_MAG_286"
"110","OC4_50m_MAG_293"
"111","OC4_50m_MAG_298"
"112","OC4_50m_MAG_34"
"113","OC5_150m_MAG_105"
"114","OC5_150m_MAG_142"
"115","OC5_150m_MAG_206"
"116","OC5_150m_MAG_209"
"117","OC5_3000m_MAG_146"
"118","OC5_50m_MAG_160"
"119","OC5_50m_MAG_216"
"120","OC5_50m_MAG_47"
"121","OC5_50m_MAG_71"
"122","OC6_150m_MAG_161"
"123","OC6_150m_MAG_194"
"124","OC6_150m_MAG_60"
"125","OC6_150m_MAG_83"
"126","OC6_2000m_MAG_222"
"127","OC6_3000m_MAG_127"
"128","OC6_3000m_MAG_230"
"129","OC6_3000m_MAG_336"
"130","OC6_4000m_MAG_110"
"131","OC6_4000m_MAG_170"
"132","OC6_4000m_MAG_208"
"133","OC6_4000m_MAG_252"
