scaffold,pathway,scaffold_len,reconciled_taxonomy
OC1703_3500m_50m_sens_contig_1926352,CBB,3781,eukaryote
OC1703_3500m_50m_sens_contig_3383798,CBB,3426,eukaryote
OC1703_3000m_50m_sens_contig_890841,CBB,3359,eukaryote
OC1703_4500m_50m_sens_contig_4021843,CBB,38859,eukaryote
OC1703_4000m_50m_sens_contig_1661934,CBB,9217,eukaryote
OC1703_3500m_50m_sens_contig_4354393,CBB,5011,eukaryote
OC1703_3500m_50m_sens_contig_958083,CBB,7525,eukaryote
OC1703_3000m_50m_sens_contig_2646026,CBB,6963,eukaryote
OC1703_500m_50m_sens_contig_4151794,CBB,3201,eukaryote
OC1703_4500m_50m_sens_contig_751397,CBB,3302,eukaryote
OC1703_3000m_50m_sens_contig_485668,CBB,8683,eukaryote
OC1703_4500m_50m_sens_contig_5144245,CBB,6255,eukaryote
OC1703_4500m_50m_sens_contig_6971959,CBB,53441,eukaryote
OC1703_3500m_50m_sens_contig_1386621,CBB,41854,eukaryote
OC1703_3000m_50m_sens_contig_2932896,CBB,27083,eukaryote
OC1703_3000m_50m_sens_contig_1817471,CBB,40224,eukaryote
OC1703_4000m_50m_sens_contig_849705,CBB,38158,eukaryote
OC1703_4000m_150m_sens_contig_1328007,CBB,36144,eukaryote
OC1703_3500m_50m_sens_contig_2081807,CBB,33423,eukaryote
OC1703_4500m_50m_sens_contig_3973389,CBB,12948,eukaryote
OC1703_500m_50m_sens_contig_3721751,CBB,6105,eukaryote
OC1703_3500m_150m_sens_contig_4921555,CBB,4574,eukaryote
OC1703_500m_50m_sens_contig_4454290,CBB,23020,eukaryote
OC1703_4000m_50m_sens_contig_146077,CBB,22899,eukaryote
OC1703_3000m_50m_sens_contig_3618592,CBB,22897,eukaryote
OC1703_3500m_50m_sens_contig_679640,CBB,11709,eukaryote
OC1703_4000m_50m_sens_contig_1810147,CBB,38122,eukaryote
OC1703_3000m_50m_sens_contig_984363,CBB,32984,eukaryote
OC1703_4500m_50m_sens_contig_6585532,CBB,23206,eukaryote
OC1703_3500m_50m_sens_contig_3889949,CBB,13052,eukaryote
OC1703_500m_50m_sens_contig_1134732,CBB,4462,eukaryote
OC1703_3500m_50m_sens_contig_1389572,CBB,6069,eukaryote
OC1703_3000m_50m_sens_contig_5652279,CBB,91032,eukaryote
OC1703_4500m_50m_sens_contig_6816649,CBB,90761,eukaryote
OC1703_4000m_50m_sens_contig_978827,CBB,89017,eukaryote
OC1703_4500m_150m_sens_contig_4704923,CBB,69415,eukaryote
OC1703_3500m_50m_sens_contig_1644980,CBB,30032,eukaryote
OC1703_4500m_50m_sens_contig_391367,CBB,11006,eukaryote
OC1703_3000m_50m_sens_contig_980548,CBB,10436,eukaryote
OC1703_3500m_50m_sens_contig_2091221,CBB,3491,eukaryote
OC1703_500m_150m_sens_contig_4414564,CBB,10843,eukaryote
OC1703_500m_500m_sens_contig_2100895,CBB,10009,eukaryote
OC1703_3500m_3000m_sens_contig_2938910,CBB,4978,eukaryote
OC1703_500m_50m_sens_contig_5737,CBB,4923,eukaryote
OC1703_3500m_2000m_sens_contig_3152275,CBB,3847,eukaryote
OC1703_500m_50m_sens_contig_153525,CBB,7751,eukaryote
OC1703_500m_500m_sens_contig_1660678,CBB,4550,eukaryote
OC1703_500m_150m_sens_contig_1492497,CBB,4402,eukaryote
OC1703_500m_150m_sens_contig_440551,CBB,4059,eukaryote
OC1703_500m_50m_sens_contig_551815,CBB,3325,eukaryote
OC1703_500m_50m_sens_contig_1788245,CBB,16897,eukaryote
OC1703_500m_50m_sens_contig_3164599,CBB,12432,eukaryote
OC1703_500m_150m_sens_contig_151072,CBB,3871,eukaryote
OC1703_3500m_50m_sens_contig_2542901,CBB,32047,eukaryote
OC1703_3000m_50m_sens_contig_4622316,CBB,32034,eukaryote
OC1703_500m_50m_sens_contig_1158678,CBB,10398,eukaryote
OC1703_500m_50m_sens_contig_3445005,CBB,5925,eukaryote
OC1703_500m_50m_sens_contig_4083784,CBB,8539,eukaryote
OC1703_500m_50m_sens_contig_3848518,CBB,7629,eukaryote
OC1703_4500m_50m_sens_contig_57366,CBB,3675,eukaryote
OC1703_3500m_50m_sens_contig_2259117,CBB,3622,eukaryote
OC1703_4500m_50m_sens_contig_7058259,CBB,7008,eukaryote
OC1703_4500m_50m_sens_contig_6185975,CBB,3278,eukaryote
OC1703_4000m_50m_sens_contig_731870,CBB,64060,eukaryote
OC1703_3500m_50m_sens_contig_3113148,CBB,60053,eukaryote
OC1703_3500m_50m_sens_contig_277442,CBB,9953,eukaryote
OC1703_3000m_50m_sens_contig_5645152,CBB,4088,eukaryote
OC1703_3500m_50m_sens_contig_688258,CBB,25106,eukaryote
OC1703_3000m_50m_sens_contig_1483890,CBB,5000,eukaryote
OC1703_3000m_50m_sens_contig_1589983,CBB,24119,eukaryote
OC1703_3500m_50m_sens_contig_575609,CBB,5778,eukaryote
OC1703_4500m_50m_sens_contig_1302821,CBB,16813,eukaryote
OC1703_4500m_50m_sens_contig_786314,CBB,4046,eukaryote
OC1703_4500m_50m_sens_contig_2650546,CBB,5286,eukaryote
OC1703_4500m_50m_sens_contig_5507841,CBB,9567,eukaryote
OC1703_4000m_50m_sens_contig_2981557,CBB,2969,eukaryote
OC1703_4000m_50m_sens_contig_2731200,CBB,2948,eukaryote
OC1703_3500m_50m_sens_contig_809782,CBB,2910,eukaryote
OC1703_3500m_50m_sens_contig_946662,CBB,2899,eukaryote
OC1703_4500m_50m_sens_contig_1678750,CBB,2879,eukaryote
OC1703_500m_50m_sens_contig_3278887,CBB,2808,eukaryote
OC1703_4500m_50m_sens_contig_3550426,CBB,2806,eukaryote
OC1703_4500m_150m_sens_contig_2931003,CBB,2634,eukaryote
OC1703_3500m_50m_sens_contig_2103931,CBB,2608,eukaryote
OC1703_3000m_150m_sens_contig_452267,CBB,2584,eukaryote
OC1703_4500m_50m_sens_contig_977953,CBB,2574,eukaryote
OC1703_4000m_50m_sens_contig_372228,CBB,2434,eukaryote
OC1703_500m_50m_sens_contig_763046,CBB,2400,eukaryote
OC1703_4500m_150m_sens_contig_4826163,CBB,2116,eukaryote
OC1703_4500m_150m_sens_contig_2232251,CBB,2074,eukaryote
OC1703_500m_150m_sens_contig_125560,CBB,2043,eukaryote
OC1703_4500m_50m_sens_contig_284101,CBB,2006,eukaryote
OC1703_3500m_50m_sens_contig_2161702,CBB,2005,eukaryote
OC1703_3000m_50m_sens_contig_3524021,CBB,1996,eukaryote
OC1703_4500m_50m_sens_contig_6671148,CBB,1994,eukaryote
OC1703_3500m_50m_sens_contig_2681613,CBB,1969,eukaryote
OC1703_4500m_50m_sens_contig_6157569,CBB,1939,eukaryote
OC1703_3000m_50m_sens_contig_1313246,CBB,1754,eukaryote
OC1703_3000m_50m_sens_contig_4060990,CBB,1706,eukaryote
OC1703_4000m_50m_sens_contig_2722644,CBB,1655,eukaryote
OC1703_500m_50m_sens_contig_1136870,CBB,1641,eukaryote
OC1703_4000m_50m_sens_contig_1594481,CBB,1565,eukaryote
OC1703_4500m_150m_sens_contig_1174817,CBB,1501,eukaryote
OC1703_3500m_50m_sens_contig_3287094,CBB,1500,eukaryote
OC1703_500m_50m_sens_contig_3025590,CBB,1344,eukaryote
OC1703_4500m_50m_sens_contig_5349648,CBB,1303,eukaryote
OC1703_3500m_50m_sens_contig_675297,CBB,1276,eukaryote
OC1703_4500m_50m_sens_contig_6867473,CBB,1232,eukaryote
OC1703_4500m_50m_sens_contig_6451611,CBB,1124,eukaryote
OC1703_4500m_50m_sens_contig_6533222,CBB,1090,eukaryote
OC1703_3000m_50m_sens_contig_4710067,CBB,1089,eukaryote
OC1703_500m_150m_sens_contig_890844,CBB,1078,eukaryote
OC1703_4500m_50m_sens_contig_1106175,CBB,1078,eukaryote
OC1703_4500m_50m_sens_contig_5765427,CBB,1067,eukaryote
